date,avg_temp
2015-01-01,31
2015-01-02,39
2015-01-03,35
2015-01-04,45
2015-01-05,42
2015-01-06,21
2015-01-07,22
2015-01-08,13
2015-01-09,24
2015-01-10,22
2015-01-11,25
2015-01-12,36
2015-01-13,30
2015-01-14,22
2015-01-15,29
2015-01-16,34
2015-01-17,22
2015-01-18,33
2015-01-19,39
2015-01-20,37
2015-01-21,31
2015-01-22,34
2015-01-23,32
2015-01-24,35
2015-01-25,38
2015-01-26,27
2015-01-27,24
2015-01-28,24
2015-01-29,26
2015-01-30,34
2015-01-31,20
2015-02-01,27
2015-02-02,30
2015-02-03,19
2015-02-04,30
2015-02-05,33
2015-02-06,18
2015-02-07,29
2015-02-08,33
2015-02-09,29
2015-02-10,30
2015-02-11,28
2015-02-12,32
2015-02-13,18
2015-02-14,23
2015-02-15,20
2015-02-16,10
2015-02-17,19
2015-02-18,24
2015-02-19,22
2015-02-20,11
2015-02-21,20
2015-02-22,34
2015-02-23,29
2015-02-24,12
2015-02-25,28
2015-02-26,27
2015-02-27,24
2015-02-28,22
2015-03-01,27
2015-03-02,32
2015-03-03,28
2015-03-04,39
2015-03-05,33
2015-03-06,21
2015-03-07,27
2015-03-08,40
2015-03-09,45
2015-03-10,41
2015-03-11,46
2015-03-12,45
2015-03-13,37
2015-03-14,44
2015-03-15,44
2015-03-16,40
2015-03-17,48
2015-03-18,34
2015-03-19,33
2015-03-20,34
2015-03-21,35
2015-03-22,40
2015-03-23,31
2015-03-24,34
2015-03-25,39
2015-03-26,45
2015-03-27,45
2015-03-28,38
2015-03-29,33
2015-03-30,42
2015-03-31,43
2015-04-01,40
2015-04-02,50
2015-04-03,59
2015-04-04,52
2015-04-05,50
2015-04-06,47
2015-04-07,51
2015-04-08,43
2015-04-09,39
2015-04-10,43
2015-04-11,55
2015-04-12,51
2015-04-13,56
2015-04-14,59
2015-04-15,59
2015-04-16,56
2015-04-17,60
2015-04-18,66
2015-04-19,58
2015-04-20,51
2015-04-21,57
2015-04-22,59
2015-04-23,47
2015-04-24,43
2015-04-25,46
2015-04-26,52
2015-04-27,54
2015-04-28,57
2015-04-29,64
2015-04-30,52
2015-05-01,53
2015-05-02,54
2015-05-03,60
2015-05-04,67
2015-05-05,73
2015-05-06,65
2015-05-07,65
2015-05-08,64
2015-05-09,58
2015-05-10,66
2015-05-11,74
2015-05-12,75
2015-05-13,65
2015-05-14,60
2015-05-15,63
2015-05-16,65
2015-05-17,70
2015-05-18,64
2015-05-19,62
2015-05-20,62
2015-05-21,57
2015-05-22,62
2015-05-23,59
2015-05-24,66
2015-05-25,72
2015-05-26,75
2015-05-27,74
2015-05-28,73
2015-05-29,73
2015-05-30,73
2015-05-31,75
2015-06-01,57
2015-06-02,52
2015-06-03,58
2015-06-04,58
2015-06-05,60
2015-06-06,66
2015-06-07,65
2015-06-08,67
2015-06-09,73
2015-06-10,74
2015-06-11,80
2015-06-12,81
2015-06-13,80
2015-06-14,77
2015-06-15,70
2015-06-16,68
2015-06-17,74
2015-06-18,67
2015-06-19,73
2015-06-20,69
2015-06-21,75
2015-06-22,80
2015-06-23,84
2015-06-24,77
2015-06-25,77
2015-06-26,75
2015-06-27,69
2015-06-28,64
2015-06-29,71
2015-06-30,75
2015-07-01,76
2015-07-02,76
2015-07-03,74
2015-07-04,72
2015-07-05,75
2015-07-06,77
2015-07-07,80
2015-07-08,82
2015-07-09,74
2015-07-10,76
2015-07-11,79
2015-07-12,81
2015-07-13,80
2015-07-14,76
2015-07-15,76
2015-07-16,72
2015-07-17,74
2015-07-18,76
2015-07-19,84
2015-07-20,89
2015-07-21,86
2015-07-22,77
2015-07-23,77
2015-07-24,78
2015-07-25,78
2015-07-26,80
2015-07-27,80
2015-07-28,83
2015-07-29,86
2015-07-30,82
2015-07-31,81
2015-08-01,84
2015-08-02,81
2015-08-03,83
2015-08-04,83
2015-08-05,80
2015-08-06,76
2015-08-07,76
2015-08-08,75
2015-08-09,76
2015-08-10,74
2015-08-11,75
2015-08-12,77
2015-08-13,76
2015-08-14,79
2015-08-15,81
2015-08-16,83
2015-08-17,85
2015-08-18,83
2015-08-19,80
2015-08-20,81
2015-08-21,79
2015-08-22,77
2015-08-23,76
2015-08-24,78
2015-08-25,81
2015-08-26,77
2015-08-27,74
2015-08-28,73
2015-08-29,77
2015-08-30,79
2015-08-31,83
2015-09-01,83
2015-09-02,80
2015-09-03,83
2015-09-04,80
2015-09-05,73
2015-09-06,74
2015-09-07,78
2015-09-08,83
2015-09-09,81
2015-09-10,75
2015-09-11,72
2015-09-12,75
2015-09-13,73
2015-09-14,67
2015-09-15,73
2015-09-16,77
2015-09-17,78
2015-09-18,77
2015-09-19,74
2015-09-20,73
2015-09-21,65
2015-09-22,66
2015-09-23,68
2015-09-24,70
2015-09-25,69
2015-09-26,66
2015-09-27,62
2015-09-28,69
2015-09-29,75
2015-09-30,73
2015-10-01,59
2015-10-02,54
2015-10-03,52
2015-10-04,57
2015-10-05,57
2015-10-06,62
2015-10-07,65
2015-10-08,64
2015-10-09,67
2015-10-10,60
2015-10-11,60
2015-10-12,65
2015-10-13,66
2015-10-14,65
2015-10-15,58
2015-10-16,59
2015-10-17,53
2015-10-18,44
2015-10-19,44
2015-10-20,56
2015-10-21,65
2015-10-22,65
2015-10-23,60
2015-10-24,48
2015-10-25,59
2015-10-26,53
2015-10-27,52
2015-10-28,57
2015-10-29,67
2015-10-30,57
2015-10-31,49
2015-11-01,57
2015-11-02,60
2015-11-03,61
2015-11-04,62
2015-11-05,62
2015-11-06,68
2015-11-07,66
2015-11-08,53
2015-11-09,53
2015-11-10,56
2015-11-11,53
2015-11-12,55
2015-11-13,57
2015-11-14,48
2015-11-15,47
2015-11-16,59
2015-11-17,49
2015-11-18,51
2015-11-19,60
2015-11-20,59
2015-11-21,47
2015-11-22,52
2015-11-23,42
2015-11-24,39
2015-11-25,44
2015-11-26,48
2015-11-27,56
2015-11-28,57
2015-11-29,43
